time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
0.000336,0.093995,-0.005280,-0.044653
0.040370,0.186225,0.014110,-0.028235
0.060364,0.143061,-0.124606,-0.036167
0.110391,0.177912,-0.207752,-0.098280
0.140401,0.058190,-0.349045,-0.101032
0.170410,0.035887,-0.318107,-0.108994
0.200419,-0.014136,-0.181074,-0.232004
0.230430,-0.045847,-0.146126,-0.154827
0.260439,-0.133532,-0.223732,0.014850
0.290448,-0.099519,-0.187181,0.005994
0.340460,-0.031403,-0.097275,0.076860
0.360472,-0.012026,-0.013376,0.034832
0.390482,0.166959,0.129808,-0.140970
0.420471,-0.024626,0.031087,-0.089847
0.470486,-0.161714,0.229856,-0.233086
0.500500,0.016237,0.487550,-0.436549
0.530523,0.034283,0.973958,-0.440296
0.560535,0.216500,1.283860,-0.354596
0.600549,0.014554,1.143116,-0.420177
0.630559,0.117404,0.817865,-0.529224
0.660568,0.072093,0.912081,-0.284007
0.710583,0.018206,0.889975,-0.106883
0.740593,0.092977,1.047713,-0.077294
0.770603,-0.260837,0.741161,-0.014250
0.800613,-0.236161,0.508827,-0.086577
0.830605,-0.082698,0.771688,-0.286783
0.860632,-0.061203,0.920404,-0.241470
0.890642,-0.076478,0.772749,-0.070877
0.940659,-0.063134,0.658553,-0.202713
0.970669,-0.007722,0.375526,-0.155773
1.010651,-0.202852,0.208877,-0.055927
1.040688,-0.048109,0.413393,-0.062600
1.070698,0.003897,0.348292,-0.042474
1.110712,-0.124554,0.309969,0.054504
1.130703,-0.140472,0.301364,0.054327
1.170732,0.069300,0.150441,-0.054564
1.200742,-0.022795,0.183225,0.005488
1.230751,0.025057,0.147126,0.010194
1.260761,0.042719,0.222599,0.031815
1.310757,0.062349,0.179988,-0.107198
1.320781,0.082944,0.175313,-0.144480
1.370766,0.029472,0.217367,-0.121433
1.400786,-0.037241,0.208376,-0.040855
1.430797,0.033281,0.286298,-0.094631
1.470810,-0.002665,0.401932,-0.137200
1.500820,0.137131,0.334974,-0.178686
1.540832,-0.024246,-0.019098,-0.014206
1.580844,0.088875,0.155451,-0.098049
1.610853,0.130116,-0.108453,-0.122023
1.640864,0.047584,0.014246,-0.081566
1.670867,-0.092670,-0.021714,-0.074950
1.700882,-0.079058,-0.026216,-0.054812
1.730891,-0.097435,-0.000002,-0.030953
1.760897,-0.086161,0.058304,-0.004340
1.800916,0.045330,0.122735,0.007639
1.840902,0.053035,0.110313,-0.014914
1.880936,0.005106,0.046804,0.009379
1.910961,-0.081109,-0.035122,0.040730
1.940970,-0.063849,-0.052860,0.020217
1.970978,-0.039212,-0.059951,0.003100
2.000985,-0.007123,-0.049869,-0.019009
2.030983,0.071098,0.017763,-0.095299
2.071004,0.042216,0.050961,-0.185111
2.100993,0.136901,0.086880,-0.203479
2.141026,0.065933,0.012599,-0.108161
2.161032,0.042459,-0.020816,-0.091791
2.211036,0.023084,-0.105781,-0.049784
2.221050,0.019836,-0.117651,-0.041500
2.271066,0.029495,-0.074675,-0.059836
2.301075,0.029186,-0.036600,-0.038927
2.331086,0.031102,0.011255,-0.029532
2.361092,0.028791,0.049495,-0.020320
2.391106,0.027636,0.064335,-0.014730
2.421115,0.026427,0.082309,-0.004828
2.471132,0.021094,0.081186,-0.002728
2.511143,0.017882,0.064018,0.003331
2.541153,0.017777,0.070286,0.011955
2.571162,0.022192,0.071612,-0.003967
2.601143,0.021165,0.062029,-0.005209
2.631157,0.022398,0.061207,-0.021175
2.661170,0.016935,0.044920,-0.003404
2.691199,0.017955,0.021327,0.005732
2.731215,0.051104,-0.034921,-0.001650
2.761225,0.277452,-0.034894,-0.002449
2.791235,0.153301,-0.059845,-0.013689
2.841251,0.016534,-0.116760,-0.030852
2.871260,-0.003958,-0.121567,-0.001189
2.901269,-0.090356,-0.098907,0.024652
2.931279,-0.088748,-0.076099,0.068677
2.961288,-0.061100,-0.029935,0.056801
3.001294,0.012098,0.077228,0.045043
3.031291,-0.030503,0.102563,0.048652
3.061320,0.012183,0.155450,0.019903
3.111337,0.014238,0.152150,0.027289
3.141347,-0.021935,0.125167,0.037382
3.171357,-0.090038,0.046605,0.063500
3.201364,-0.092902,0.024586,0.037567
3.231376,0.045470,-0.045844,-0.270909
3.271388,-0.057077,-0.293978,-0.468099
3.291392,-0.045564,-0.293989,-0.250080
3.331408,-0.159667,-0.180449,-0.035426
3.381416,-0.112196,-0.061333,0.072113
3.411414,-0.083801,-0.010265,0.089042
3.441413,-0.025632,0.011461,0.009753
3.471423,0.003943,-0.023514,-0.066364
3.501442,0.013030,-0.047242,-0.116773
3.531473,0.043136,-0.021989,-0.155619
3.561482,-0.007698,0.006456,-0.077521
3.601496,-0.087438,0.043641,0.119811
3.631504,-0.125563,0.068250,0.102143
3.661512,-0.042340,0.080899,0.067380
3.711529,-0.063170,0.055723,0.032860
3.741540,-0.055476,0.025099,0.015288
3.771550,-0.135029,0.015920,0.104354
3.801560,0.004226,0.011128,-0.100816
3.831569,-0.023427,0.001957,0.004263
3.871583,-0.091640,0.003478,0.023353
3.901593,-0.107385,-0.074421,0.021895
3.931602,-0.062262,-0.033917,-0.033666
3.971614,-0.012656,-0.000552,-0.109560
3.991621,-0.031246,-0.001389,-0.059615
4.041627,-0.043836,0.035783,0.017626
4.071633,-0.033030,-0.000285,0.008464
4.101631,-0.007929,-0.008852,-0.052282
4.131652,0.009502,-0.023137,-0.089746
4.161658,-0.005487,-0.027648,-0.078149
4.201689,-0.061163,-0.016743,-0.040792
4.231698,-0.111936,0.001089,0.033920
4.261706,-0.101245,0.009350,0.126605
4.291716,-0.115335,0.034566,0.147260
4.341734,0.060108,0.006493,-0.058299
4.371743,0.056677,-0.007334,-0.133000
4.401752,0.006526,-0.024361,-0.008950
4.441770,0.005701,-0.002630,-0.036199
4.461771,0.041053,0.004365,-0.064741
4.491781,0.021874,0.007408,-0.060454
4.531780,-0.103443,0.031076,0.028104
4.571808,-0.250444,0.022372,0.063928
4.611819,-0.286443,0.030317,-0.050818
4.631828,-0.222048,0.061046,-0.017209
4.661838,-0.269464,0.087694,0.039591
4.701846,-0.103057,0.053467,-0.113983
4.731832,-0.087933,0.047030,-0.035390
4.761848,-0.098597,0.101046,0.057052
4.791878,-0.134033,0.089024,-0.005954
4.831890,-0.277279,0.100403,-0.028243
4.881905,-0.368032,0.154546,0.101329
4.911917,-0.559482,0.176912,0.113217
4.941927,-0.947174,0.224504,0.087059
4.971932,-1.505276,0.147063,0.024361
5.011950,-2.082280,0.095084,0.035489
5.031929,-2.116185,-0.260576,0.204342
5.071969,-2.416457,-0.180507,0.244820
5.091974,-2.660846,-0.297754,-0.335082
5.131988,-2.771941,-0.525743,-0.028902
5.182005,-3.705176,-0.667333,0.226873
5.191987,-3.573422,-0.577660,-0.093538
5.242023,-2.748751,-0.116508,-0.503048
5.272033,-2.574230,-0.081155,-0.031086
5.302041,-2.229691,0.076868,-0.290433
5.332052,-2.299600,0.266218,-0.352947
5.362062,-2.611050,0.203156,-0.228990
5.402074,-2.720050,0.092192,-0.046129
5.432085,-2.487384,0.041701,-0.231831
5.472099,-1.825697,0.156742,-0.225742
5.502108,-1.570421,0.171078,0.251242
5.532117,-1.203384,0.176661,0.209236
5.562121,-0.532687,0.252701,-0.025725
5.602121,-0.217153,0.211769,-0.111189
5.632149,-0.200010,0.125575,0.095672
5.672161,-0.095960,0.032688,-0.077139
5.692139,-0.071122,-0.048564,-0.197718
5.732183,0.033033,-0.009891,-0.610560
5.782197,-0.330056,0.008385,0.260314
5.812206,-0.091360,0.013950,-0.106193
5.832216,0.012431,-0.010837,-0.269237
5.872212,-0.145188,0.017606,0.059709
5.902236,-0.159222,0.063856,0.171146
5.932245,-0.020852,0.022494,0.057817
5.972241,-0.005194,-0.101493,0.010879
6.002240,0.014754,-0.079900,-0.071647
6.032267,0.134513,-0.069891,-0.345691
6.072275,-0.100025,-0.077523,0.231344
6.112281,0.185438,0.001217,0.049157
6.142313,0.613689,0.072202,-0.068137
6.172323,1.005186,0.154962,-0.128894
6.202333,1.379765,0.184893,-0.085367
6.232341,1.708312,-0.047555,-0.053124
6.272357,2.474333,-0.085168,0.068305
6.302365,2.719142,0.247356,0.158750
6.332376,2.775030,0.271616,0.194357
6.382346,2.750129,0.472603,0.294818
6.412355,2.719258,0.456956,0.404027
6.442360,2.816883,0.520352,0.403186
6.472388,3.320691,0.753407,0.240058
6.502372,1.936988,0.208212,0.173067
6.532409,1.894451,0.354351,-0.057175
6.562418,2.082695,0.367951,-0.477827
6.602411,1.782404,0.172227,-0.677469
6.622437,1.430074,0.261432,-0.338056
6.682457,1.996879,0.222036,-0.873035
6.712467,0.971256,-0.037855,-0.295205
6.742476,1.330703,0.049413,-0.240001
6.762484,1.292166,-0.006365,-0.301693
6.802496,1.304145,-0.587016,-0.403871
6.832505,0.896660,-0.413596,-0.293732
6.862515,0.618124,-0.367412,-0.191112
6.902526,0.692030,-0.179258,0.014507
6.922534,1.008054,-0.166440,-0.028489
6.972550,0.861377,-0.356927,-0.386308
7.012550,0.594258,-0.477090,-0.422871
7.032547,0.537847,-0.287314,-0.153567
7.072578,0.184731,-0.002009,0.620165
7.102577,0.258764,0.021384,0.648333
7.132576,0.439514,0.146945,0.510491
7.162603,0.797997,-0.032966,-0.392090
7.222631,0.401137,-0.069007,-0.034839
7.232635,0.229079,-0.032706,0.049644
7.282650,0.209075,0.102633,0.405186
7.312660,0.628940,0.028760,-0.295436
7.342670,0.353825,0.032681,-0.004301
7.372679,0.304422,0.048818,0.041668
7.402689,0.326684,0.057852,-0.055976
7.432699,0.241571,0.067996,-0.048443
7.462709,0.153367,0.025839,-0.038691
7.502698,0.068813,0.012802,0.021586
7.522728,0.095154,-0.012626,-0.052231
7.572746,-0.105253,-0.042748,0.115002
7.612756,0.086061,-0.048115,-0.391073
7.632763,0.178885,-0.047579,-0.326085
7.672769,-0.064462,-0.117668,-0.209622
7.702767,-0.164718,-0.077209,0.118550
7.732765,-0.060128,-0.080785,0.177095
7.762794,0.128139,-0.109321,-0.135866
7.792793,0.178196,-0.146364,-0.138619
7.832828,0.090650,-0.120622,-0.105278
7.882834,-0.021843,-0.030275,0.163185
7.912849,-0.033347,-0.033720,0.247120
7.942858,-0.026596,0.034875,0.297314
7.972866,0.252899,0.067352,-0.215402
8.002859,0.464810,-0.035397,-0.336161
8.032875,0.274377,-0.002208,-0.120954
8.072887,0.271253,0.017125,-0.131234
8.102886,0.493988,0.016531,-0.091638
8.132915,0.345358,0.008708,0.098400
8.172939,0.564827,-0.101583,0.269958
8.212951,0.604719,-0.170114,0.230453
8.242960,0.622534,-0.176361,0.154854
8.272970,0.137419,-0.048513,0.079021
8.302980,0.714427,-0.105657,0.091398
8.332990,0.494939,-0.117173,0.149419
8.362997,0.058071,-0.089052,0.054784
8.403012,0.184410,-0.056069,-0.042296
8.433022,0.716692,0.148113,0.022715
