time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
-0.007190,0.017884,0.058672,0.004296
0.022826,0.016827,0.079002,-0.000647
0.052849,0.015771,0.067238,0.001262
0.082860,0.013827,0.035390,-0.008901
0.132886,0.020339,-0.037136,-0.005980
0.172887,0.018237,-0.046741,-0.006160
0.202903,0.018068,-0.014887,0.002936
0.232925,0.015967,0.024723,-0.008032
0.262940,0.013822,0.041802,-0.009845
0.292943,0.010630,0.034292,-0.007861
0.322942,0.016958,0.012858,0.001321
0.352951,0.019228,0.004515,-0.010529
0.392991,0.018221,0.004590,-0.015846
0.423002,0.020359,-0.009291,-0.013973
0.453013,0.022512,-0.029568,-0.012218
0.503032,0.020341,-0.015735,-0.010902
0.533043,0.022453,-0.010395,-0.010800
0.563056,0.021377,-0.009350,-0.009719
0.593067,0.020284,-0.001908,-0.008519
0.623078,0.020214,0.017249,-0.006038
0.663064,0.018148,0.020533,-0.012361
0.693104,0.014880,0.025752,-0.005887
0.723117,0.018196,0.005624,-0.013700
0.753128,0.023399,-0.004137,-0.001113
0.803147,0.021268,0.016172,-0.004993
0.833157,0.021240,0.036459,-0.006745
0.863149,0.020123,0.049215,-0.004384
0.893160,0.021251,0.036475,-0.007808
0.923162,0.022413,0.005596,-0.010505
0.953191,0.023676,-0.051886,-0.016883
0.983190,0.023685,-0.087178,-0.010092
1.023232,0.016149,-0.065956,-0.005454
1.053241,0.017077,-0.047956,0.003387
1.083235,0.015931,0.003274,0.000079
1.133245,0.014707,0.072579,0.000296
1.163275,0.015867,0.069514,-0.008267
1.193273,0.018035,0.034280,-0.004662
1.223308,0.021326,-0.011562,-0.004443
1.253318,0.023560,-0.032793,-0.010150
1.293335,0.022447,-0.016823,-0.008792
1.333351,0.022471,-0.003950,-0.013872
1.373364,0.022412,-0.007244,-0.007552
1.403377,0.022472,-0.017857,-0.010938
1.433389,0.020344,-0.016801,-0.010921
1.463399,0.015943,-0.010617,0.001949
1.493412,0.017948,0.028806,0.004807
1.523422,0.016947,0.053496,-0.006435
1.563439,0.020151,0.047115,-0.006550
1.593450,0.010852,0.021771,-0.026171
1.633464,0.018187,-0.026486,-0.005786
1.653473,0.022475,-0.037110,-0.007041
1.703491,0.025745,-0.047676,-0.012549
1.733493,0.021533,-0.054060,-0.014799
1.763494,0.021553,-0.071149,-0.012988
1.803530,0.021531,-0.075461,-0.009878
1.823514,0.022582,-0.075472,-0.008813
1.853543,0.019324,-0.052050,-0.007320
1.883559,0.023506,-0.024312,-0.006803
1.923576,0.024448,0.019385,-0.004930
1.953587,0.024349,0.054550,-0.003217
2.003599,0.021052,0.080056,0.001505
2.033605,0.020118,0.055627,-0.005329
2.063604,0.020123,0.049215,-0.004384
2.093640,0.022291,0.036448,-0.005681
2.123638,0.020246,0.008736,-0.007259
2.153648,0.022474,-0.023203,-0.009974
2.183660,0.023524,-0.036055,-0.005956
2.233680,0.022504,-0.030650,-0.011175
2.273695,0.021367,-0.018992,-0.006707
2.303705,0.021266,0.003331,-0.002041
2.333696,0.019163,0.021540,-0.008087
2.363699,0.023475,0.019508,-0.013437
2.393729,0.023503,0.003501,-0.012669
2.423728,0.024612,-0.028524,-0.010070
2.463768,0.028925,-0.048743,-0.011502
2.493780,0.028947,-0.044430,-0.014612
2.543797,0.023576,-0.039189,-0.010268
2.553802,0.026783,-0.042356,-0.011386
